respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Imagine que está en una conferencia con otros colegas. Un amigo de otra escuela le pide que describa una experiencia en el aula en la cual probó algo diferente que produjo resultados positivos, negativos, interesantes o mixtos en los alumnos.¿Cuál experiencia compartiría",Mi experiencia produjo…,En esta experiencia me enfoqué en…,Mi intención fue cultivar en los estudiantes…,Los estudiantes aprenden a través de…,En mi experiencia un factor determinante es…,En mi experiencia fueron determinantes…,Mi foco estuvo en cultivar en los estudiantes…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes se les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,En general mi ejemplo/experiencia me produjo,Esta situación sucede…,Esta historia se relaciona con…,Tiempo que llevo trabajando en educación...,Tipo de Institución..,¿En que trayectoria enseña? Puedes seleccionar varias,,,,Género,Edad,Nivel Educativo
12609688487,402519755,2021-04-27 09:59:38,2021-04-27 13:55:58,186.112.11.155,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"El año pasado trabajamos el proyecto SEMBRANDO ESPERANZA con el que abordamos diversas áreas del conocimiento, en mi caso era matemáticas, y con los estudiantes que tenía a mi cargo (grado cuarto, quinto y 8-4), durante los dos primeros meses íbamos midiendo y registrando la altura de la planta, aprendimos tanto ellos como yo que las plantas más pequeñas pueden medirse con una regla, mientras que las plantas de mayor porte pueden requerir de una cinta métrica, la regla comience en cero en la parte que se ubica en la base de la planta, si mides una planta que se encuentra dentro de una maceta, la regla debe iniciar desde el nivel del suelo. Calculamos con los datos que obteníamos el promedio, empleando la fórmula de tasa de crecimiento, al tomar el cambio en altura y dividirla por la cantidad de tiempo durante el cual la planta ha crecido. Luego dicha actividad se tuvo que ampliar el tiempo de medición ya que a algunos la planta se les moría, se la comía la mascota, no la regaban, la dejaban al sol, y cosas por ese estilo. Finalmente los que se esmeraron y la cuidaron bien, lograron muy buenos y bonitos resultados, incluso algunos obtuvieron frutos.",Resultados interesantes,El desarrollo socioemocional del alumno,Comprensión del mundo que los rodea,Aplicar y hacer,Habilidades y capacitación,Estudiantes y padres,Comprensión del mundo que los rodea,Ayudar a los estudiantes a alcanzar los objetivos,57,100,0,Esperanza,No se,Educación / aprendizaje,De uno a cinco años,No oficial,,Básica Primaria,Básica Secundaria,,Mujer,20 a 29 años,Licenciado
12609622133,402519755,2021-04-27 12:36:05,2021-04-27 13:40:02,181.50.102.136,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Se propuso un juego de roles donde se personificaba a 2 granjeros tomando decisiones ambientales sobre talar árboles y obtener una ganancia y un daño ambiental a largo plazo.,Resultados interesantes,El desarrollo socioemocional del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Tiempo y la planeación curricular,Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,0,80,20,Esperanza,Rara vez,Valores,Menos de un año,No oficial,,,Básica Secundaria,,Mujer,20 a 29 años,Profesional no Licenciado
12609591685,402519755,2021-04-27 13:06:57,2021-04-27 20:30:05,190.1.234.210,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"Para  afianzar  la habilidad de la escucha,programe  actividades  donde los estudiantes  colocaban.vendas e sus ojos  y ellos y ellas trataban de ubicar algunos  sonidos  ,identificando e lugar de procedencias ",Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Ayudar a los estudiantes a alcanzar los objetivos,0,2,0,Satisfacción/orgullo,Con frecuencia,Educación / aprendizaje,Más de quince año,No oficial,,Básica Primaria,,,Mujer,60 a 69 años,Licenciado
12609546226,402519755,2021-04-27 13:01:29,2021-04-27 13:07:35,190.1.208.243,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"La primera vez que aplique estrategias pedagógicas de gamificación y tuve inconvenientes técnicos para iniciar la aplicación, al final tuve que aplazar la actividad y retomarla la siguiente clase de forma satisfactoria",Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Abrir nuevos mundos para los estudiantes,52,51,0,Satisfacción/orgullo,Rara vez,Tecnología,De uno a cinco años,No oficial,,,Básica Secundaria,Media,Mujer,30 a 39 años,Profesional no Licenciado
12609519493,402519755,2021-04-27 12:40:22,2021-04-27 12:59:48,181.129.172.110,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"Para trabajar el concepto de variable y lo que ésta representa empezamos a nombrar cantidades desconocidas con los nombres de los estudiantes. Por ejemplo, ""La edad de Pepito Pérez"". A medida que escribíamos cosas para buscar cuál era la edad de Pepito, comprendieron que estar escribiendo a toda hora ""La edad de Pepito Pérez"" era muy largo y tedioso, finalmente los estudiantes optaron por denotarle sólo una letra y comprendieron desde ahí que podían escoger cualquier letra para representar una incógnita (no sólo x e y), y comprendieron lo que ésta representa. Una experiencia diferente con resultados positivos.",Resultados positivos,El desarrollo socioemocional del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Tiempo y la planeación curricular,Maestros y rectores,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,1,79,0,Felicidad,Con frecuencia,Educación / aprendizaje,De cinco a diez años,Oficial,,Básica Primaria,Básica Secundaria,Media,Mujer,20 a 29 años,Licenciado
12609513253,402519755,2021-04-27 12:46:47,2021-04-27 12:57:47,186.81.100.47,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Mixtos,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Maestros y rectores,Buenas bases para la compresión de futuros aprendizajes,Ayudar a los estudiantes a alcanzar los objetivos,50,50,50,Satisfacción/orgullo,Una vez,Educación / aprendizaje,Más de quince año,Oficial,,,Básica Secundaria,,Hombre,15 a 19 años,Bachiller
12609431984,402519755,2021-04-27 12:23:13,2021-04-27 12:36:39,190.85.64.110,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,EVALUACION CON WORDWALL. POR MEDIO DE JUEGOS ESTOY EVALUANDO. Y REAFIRMANDO APRENDIZAJES SIGNIFICATIVOS.,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,60,30,90,Esperanza,Con frecuencia,Innovación / creatividad,Más de quince año,No oficial,,Básica Primaria,Básica Secundaria,,Mujer,50 a 59 años,Especialista
12609330304,402519755,2021-04-27 11:38:12,2021-04-27 11:58:09,181.53.97.2,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"Sin lugar a duda en mi área fue el día en que realicé un trabajo enfocado en la parte motriz y la técnica de artes marciales, donde se enfocó el trabajo en las posturas corporales. Las niñas y los niños lo tomaron de una manera muy especial, lo disfrutaron y se sintieron motivados durante toda la clase.",Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/futura empleabilidad,Aplicar y hacer,Habilidades y capacitación,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,75,29,87,Felicidad,Con frecuencia,Salud,De uno a cinco años,No oficial,,Básica Primaria,,,Hombre,30 a 39 años,Licenciado
12608967784,402519755,2021-04-27 10:00:00,2021-04-27 10:06:35,186.170.66.5,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,"La del juego de la escalera. Para aprender  los números . El cual unos estaban emocionados por ir a la delantera y otros un poco preocupados por ir muy atrás, pero al final de logra el objetivo  que es el de aprender a reconocer los números.",Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Comprensión del mundo que los rodea,Dar soporte emocional a los estudiantes,29,49,100,Felicidad,Con frecuencia,Innovación / creatividad,De uno a cinco años,Oficial,,Básica Primaria,,,Mujer,30 a 39 años,Licenciado
12608879199,402519755,2021-04-27 09:32:59,2021-04-27 09:39:17,186.27.154.27,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,La orientación en matemáticas con números enteros en STEAM,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,18,50,50,Satisfacción/orgullo,Con frecuencia,Educación / aprendizaje,Más de quince año,No oficial,,,Básica Secundaria,Media,Hombre,40 a 49 años,Profesional no Licenciado
12608876092,402519755,2021-04-27 09:31:23,2021-04-27 09:38:26,191.92.39.39,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Retos vivenciales  y juegos en linea,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,51,47,45,Felicidad,Con frecuencia,Innovación / creatividad,De cinco a diez años,No oficial,,Básica Primaria,,,Mujer,30 a 39 años,Profesional no Licenciado
12608867118,402519755,2021-04-27 09:30:12,2021-04-27 09:35:49,186.80.92.111,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,El uso del juego quien quiere ser millonario hace que los estudiantes sean más participativos y competitivos además que les sirve de repaso en los temas vistos en clase. ,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,50,51,72,Satisfacción/orgullo,Con frecuencia,Tecnología,De uno a cinco años,No oficial,,Básica Primaria,Básica Secundaria,,Mujer,30 a 39 años,Profesional no Licenciado
12608811809,402519755,2021-04-27 09:16:01,2021-04-27 09:18:44,181.50.102.60,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,gamificación,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Comprensión del mundo que los rodea,Ayudar a los estudiantes a alcanzar los objetivos,18,100,21,Felicidad,Con frecuencia,Educación / aprendizaje,De uno a cinco años,No oficial,,,Básica Secundaria,Media,Hombre,20 a 29 años,Licenciado
12608691398,402519755,2021-04-27 08:36:08,2021-04-27 08:40:47,186.86.52.32,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,Mixtos,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,18,49,62,Felicidad,Con frecuencia,Tecnología,De uno a cinco años,No oficial,,,Básica Secundaria,Media,Mujer,30 a 39 años,Profesional no Licenciado
12606676231,402519755,2021-04-26 14:46:56,2021-04-26 15:28:52,181.62.52.57,,,,,Sí,VALLE DEL CAUCA,Colegio La Fontaine,"Trabajar el proyecto de emociones con mis estudiantes, fue una experiencia donde se logro resultados positivos en ellos, ya que el aprender a manejar y abrazar  las emociones desde su edad es algo supremamente importante, entender que la alegría y la tristeza son dos emociones diferentes que podemos sentir en cualquier momento y no esta mal hacerlo, lo importante es aprender a manejarlas. Esta experiencia  permitió  centrarse en el ser,  permitió desarrollar la empatía, el amor propio, la confianza, la honestidad y muchas cosas que nos permitieron crecer antes, durante y después de un año lectivo tan difícil y desafiante como el 2020. ",Resultados positivos,El desarrollo socioemocional del alumno,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Abrir nuevos mundos para los estudiantes,50,50,35,Satisfacción/orgullo,Con frecuencia,Ninguna de las anteriores,De diez a quince años,No oficial,Preescolar,Básica Primaria,,,Mujer,30 a 39 años,Licenciado
12606380329,402519755,2021-04-26 13:34:02,2021-04-26 13:40:01,186.86.69.215,,,,,Sí,VALLE DEL CAUCA,Colegio La Fontaine,"Compartiría la experiencia de realizar magia con un imán, dónde los estudiantes crearon todo el fondo y colorearon  un cohete espacial al cual le pusimos un clic y con iman lo movían",Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Tiempo y la planeación curricular,Estudiantes y padres,Comprensión del mundo que los rodea,Abrir nuevos mundos para los estudiantes,20,53,51,Felicidad,Con frecuencia,Innovación / creatividad,De diez a quince años,No oficial,Preescolar,,,,Mujer,30 a 39 años,Licenciado
12606053292,402519755,2021-04-26 11:29:31,2021-04-26 11:51:29,186.86.69.215,,,,,Sí,VALLE DEL CAUCA,Colegio La Fontaine,"Una experiencia fue acerca de los sentidos; se les puso una venda en los ojos para que no pudieran ver nada y en sus oídos algodón para que no escuchar y pudieran diferenciar lo importante de sus sentidos y cada espacio de su cuerpo, se tuvieron experiencias positivas ya que hicieron la vivencia de la clase. ",Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Tiempo y la planeación curricular,Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Ayudar a los estudiantes a alcanzar los objetivos,100,50,100,Satisfacción/orgullo,Con frecuencia,Salud,De uno a cinco años,No oficial,Preescolar,Básica Primaria,,,Mujer,30 a 39 años,Normalista
12606044234,402519755,2021-04-26 11:31:07,2021-04-26 11:52:20,186.86.69.215,,,,,Sí,VALLE DEL CAUCA,Colegio La Fontaine,"La experiencia fue cuando hicimos la huerta, ya que surgieron muchas preguntas e investigamos como sembrar aguacate . después se nos surgió hacer una huerta casera de huevos, y fue una experiencia genial .",Resultados positivos,El desarrollo socioemocional del alumno,Habilidades de vida prácticas/futura empleabilidad,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Abrir nuevos mundos para los estudiantes,18,100,100,Satisfacción/orgullo,Con frecuencia,Innovación / creatividad,De uno a cinco años,No oficial,Preescolar,,,,Mujer,20 a 29 años,Licenciado
12605877639,402519755,2021-04-26 09:58:40,2021-04-26 10:54:32,186.86.69.215,,,,,No,VALLE DEL CAUCA,Colegio La Fontaine,La experiencia significativa que me gustó mucho y me llamó más la atención fue Narrando y escribiendo voy contando mi historia de vida porque permitió rescatar diferentes maneras de interactuar en familia ya que los padres debían recordar y contar todas sus experiencias.Algo muy importante que se desarrolló en este proyecto es el proceso de reflexión y participación de los estudiantes dentro de la experiencia.Los niños aportaron conocimientos que hicieron que sus padres se sintieran motivados a  recordar.  ,Resultados positivos,El desarrollo socioemocional del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Habilidades prácticas para la vida/ futura empleabilidad,Dar soporte emocional a los estudiantes,50,35,50,Felicidad,Con frecuencia,Relación con la familia,Más de quince año,No oficial,Preescolar,Básica Primaria,,,Mujer,40 a 49 años,Profesional no Licenciado
12605864429,402519755,2021-04-26 10:44:28,2021-04-26 10:50:44,186.86.69.215,,,,,No,VALLE DEL CAUCA,Colegio La Fontaine,El aprendizaje a traves de medios digitales. Fue una experiencia nueva y muy importante para mí y para todos. Acercarnos a los medios digitales fue muy enriquecedor.,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.",Estudiantes y padres,Buenas bases para la compresión de futuros aprendizajes,Abrir nuevos mundos para los estudiantes,100,100,100,Felicidad,Todo el tiempo,Bullying / matoneo,De uno a cinco años,No oficial,Preescolar,Básica Primaria,,,Mujer,40 a 49 años,Licenciado
12532700474,402519755,2021-03-29 13:49:12,2021-03-29 13:53:07,191.95.173.46,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Palmira,XXXXXXXXXXXXXXXXXXXX,Resultados positivos,El desarrollo socioemocional del alumno,Buenas bases de comprensión para futuros aprendizajes,Aplicar y hacer,"Recursos educativos (ej.. tecnología, fondos, etc.",Maestros y rectores,Habilidades prácticas para la vida/ futura empleabilidad,Ayudar a los estudiantes a alcanzar los objetivos,48,52,58,Felicidad,Una vez,Valores,Menos de un año,Oficial,Preescolar,Básica Primaria,Básica Secundaria,,Hombre,15 a 19 años,Bachiller
