respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12648924454,402519848,2021-05-11 16:42:20,2021-05-11 16:52:21,191.106.160.202,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Quiero aprender más de ciencias naturales ,#ciencias me gusta,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,88,0,89,Felicidad,Rara vez,La forma como los profesores me evalúan,,8 a 10 años,Bachiller,Mujer
12648923479,402519848,2021-05-11 16:46:57,2021-05-11 16:50:57,191.92.36.254,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendimos a utilizar plataformas virtuales y cómo utilizar la tecnología ,#aprendo sobre el mundo,Me dio curiosidad por saber más,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,64,20,100,Felicidad,Con frecuencia,Innovación / creatividad,4,8 a 10 años,Bachiller,Mujer
12648909191,402519848,2021-05-11 16:38:34,2021-05-11 16:44:59,186.86.52.197,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Cada día aprende algo más cosas que no sabia ,#lonuevosiemprevienemejor,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,53,46,15,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,4,8 a 10 años,Bachiller,Hombre
12648850913,402519848,2021-05-11 16:18:28,2021-05-11 16:21:16,186.86.52.192,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Siempre aprender algo,#aprender ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,no está seguro,Una vez,Cómo resolver conflictos,,,,
12648836218,402519848,2021-05-11 16:04:31,2021-05-11 16:16:20,186.81.100.17,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Pude aprender más sobre cosas como escribir guardar enviar archivos o carpetas ,#exploremos ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,18,89,58,Satisfacción/orgullo,No se,Lo que hago en mi tiempo libre,,8 a 10 años,Bachiller,Hombre
12648832159,402519848,2021-05-11 16:07:41,2021-05-11 16:14:29,186.168.137.138,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,"Proyecto de fin de año. La decoración,las carrozas el desfile",#Disfrutando de la vida,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,82,31,44,Felicidad,Con frecuencia,El trabajo en equipo,,8 a 10 años,Universitario,Mujer
12648785649,402519848,2021-05-11 15:45:55,2021-05-11 15:59:20,181.129.247.44,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Asistir a clases virtualmente fue algo nuevo ,#generacionvirtual,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,47,7,47,Esperanza,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,4,8 a 10 años,Bachiller,Mujer
12648774000,402519848,2021-05-11 15:42:54,2021-05-11 15:53:13,181.143.232.186,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,El año empezo la pandemia y debido a eso seguimos en clases viertuales estudiar desde casa es algo bueno y malo ala vez no puedo ver mis profesores ni compañeros eso es lo malo.. Lo bueno es q me me tomo el tiempo de hacer mis tareas ,# clases virtuales ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,69,86,100,no está seguro,No se,El trabajo en equipo,,8 a 10 años,Bachiller,Mujer
12648745699,402519848,2021-05-11 15:37:28,2021-05-11 15:41:40,200.6.178.186,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí a leer y tener buenos compañeros,Aprendizaje,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,3,4,100,Satisfacción/orgullo,Todo el tiempo,La forma cómo los profesores enseñan,,,,
12648653521,402519848,2021-05-11 15:03:49,2021-05-11 15:09:11,200.6.178.186,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí mucho y me gustaría seguir aprendiendo ,Aprender mas,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,28,100,Felicidad,Todo el tiempo,El trabajo en equipo,11,17 a 19 años,Bachiller,Hombre
12648534809,402519848,2021-05-11 14:19:17,2021-05-11 14:27:51,186.116.238.102,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Me gusta la matemática y sociales,#matematicas lo mejor,Aprendí algo nuevo,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,75,53,50,Satisfacción/orgullo,Con frecuencia,Tecnología y herramientas digitales,6,11 a 13 años,Universitario,Hombre
12648306146,402519848,2021-05-11 12:56:21,2021-05-11 13:11:45,186.81.100.103,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Quisiera  aprender mas sobreeso  y por que para tener bien esplicado el tama,,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,23,100,no está seguro,Rara vez,El trabajo en equipo,6,11 a 13 años,Bachiller,Mujer
12648300470,402519848,2021-05-11 13:04:28,2021-05-11 13:09:14,200.6.178.186,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te confundió,Pues q aprendimos a utizar más las redes porq el estudio fue virtual el año pasado ,#aprender ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,50,100,no está seguro,Rara vez,La forma como los profesores me evalúan,6,11 a 13 años,Bachiller,Hombre
12648245557,402519848,2021-05-11 12:41:42,2021-05-11 12:51:50,186.170.64.104,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí hacer una huerta,Huerta de la paz,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,50,100,Felicidad,Todo el tiempo,El trabajo en equipo,6,11 a 13 años,Bachiller,Hombre
12648222586,402519848,2021-05-11 12:39:45,2021-05-11 12:44:46,186.86.52.210,,,,,Sí,CAUCA,Colegio Comfandi El Prado,te enseñó algo nuevo,Si,No,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Felicidad,Una vez,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Hombre
12648218594,402519848,2021-05-11 12:29:56,2021-05-11 12:43:30,200.6.190.148,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Mesenti feliz en colegio pero la pandemia nos puso en curentena,Hashtag en curentena,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,22,100,Felicidad,Todo el tiempo,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Hombre
12648215929,402519848,2021-05-11 12:35:59,2021-05-11 12:43:17,186.81.100.237,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,#Aprendi muchas cosas nuevas y compartir con mis amigos,#,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Entendernos y darnos soporte emocional,100,18,14,Angustia/Miedo,No se,Liderazgo,6,11 a 13 años,No se,Hombre
12648182290,402519848,2021-05-11 12:24:24,2021-05-11 12:30:24,190.159.249.162,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,"Cuando Un tema me parece interesante Me da curiosidad por aprenderlo, pero no tengo una experiencia en especifico.",#Mastemasinteresantes,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,0,60,20,Satisfacción/orgullo,Con frecuencia,La forma cómo los profesores enseñan,8,14 a 16 años,Bachiller,Hombre
12648171662,402519848,2021-05-11 12:22:00,2021-05-11 12:26:52,186.86.52.155,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Me gusta ir al colegio por que aprendo muchas cosas que no sabía y me gusta parar tiempo con mis compañeros,#aprendoalgonuevo,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,17,100,no está seguro,No se,El trabajo en equipo,9,14 a 16 años,Bachiller,Hombre
12648121582,402519848,2021-05-11 12:01:23,2021-05-11 12:11:08,186.112.69.33,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,,,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,2,60,30,,No se,,9,14 a 16 años,No se,Hombre
12648116706,402519848,2021-05-11 12:03:11,2021-05-11 12:08:43,200.6.190.148,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,"La matemática, estadística ",#megustaaprender,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,47,53,56,Satisfacción/orgullo,No se,El cuidado del medio ambiente,7,11 a 13 años,Bachiller,Mujer
12648105101,402519848,2021-05-11 12:02:01,2021-05-11 12:05:01,186.81.100.203,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,,,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Hacer cosas,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,47,12,no está seguro,No se,Mi aporte a la humanidad/al mundo/a los demás,9,11 a 13 años,Bachiller,Mujer
12648043112,402519848,2021-05-11 11:40:01,2021-05-11 11:45:22,186.168.113.183,,,,,Sí,CAUCA,Instituto Central de Comercio y Bachillerato,te confundió,"Fue un año complicado y estaba muy desconcertada, por lo cual se me hizo difícil aprender ",#nomeentrainformacion,Me sentí confundido/no entendí nada,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,32,100,Tristeza,No se,La forma cómo los profesores enseñan,7,11 a 13 años,Universitario,Mujer
12645373110,402519848,2021-05-10 15:06:14,2021-05-10 15:16:35,191.106.198.43,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Un día me puse a discutir con un compañero porque no quería jugar conmigo y peleamos ,#No más peleas,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,23,71,Rabia,Rara vez,Cómo resolver conflictos,,8 a 10 años,Bachiller,Hombre
12645227595,402519848,2021-05-10 14:11:31,2021-05-10 14:20:07,186.27.156.63,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,"Tener clases de natación, y conocermas personas",#amigosnuevos,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,58,100,Felicidad,Una vez,Relación con los compañeros,4,8 a 10 años,Bachiller,Hombre
12645189985,402519848,2021-05-10 13:59:47,2021-05-10 14:05:41,191.106.161.1,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Aprender  a leer y describir ,#leersirve,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,2,2,2,Satisfacción/orgullo,Rara vez,La forma cómo los profesores enseñan,,,,
12645182685,402519848,2021-05-10 13:55:13,2021-05-10 14:03:38,186.81.100.49,,,,,Sí,CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Que el año pasado yo no era tan atento con las tareas y este año quiero ser aplicado,Superate,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,0,18,Esperanza,Todo el tiempo,Ninguna de las anteriores,6,11 a 13 años,No se,Hombre
12645035469,402519848,2021-05-10 12:54:23,2021-05-10 13:12:43,186.27.152.17,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,como no conocía a nadie me dio un poco de susto y me confundí ya que era nueva  ,#CONFUNDIDA,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,34,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,6,11 a 13 años,No se,Hombre
12644983961,402519848,2021-05-10 12:50:43,2021-05-10 12:56:17,186.86.52.54,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Pues la experiencia fue muy buena plrque aprendi muchas mas cosas,#aprender,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,49,10,7,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Hombre
12644975722,402519848,2021-05-10 12:38:28,2021-05-10 12:58:28,191.106.137.6,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,La  buena educación del niño,La buena Educación de los Docentes para con los Niños,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,,10,84,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,,más de 19 años,Bachiller,Hombre
12644953249,402519848,2021-05-10 12:43:01,2021-05-10 12:46:24,181.52.231.138,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Pues digamos que cuando veo o estudio algo entonces me da mas curiosidad,Me da curiosidad saber mas ,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,50,50,no está seguro,Rara vez,Mi aporte a la humanidad/al mundo/a los demás,6,11 a 13 años,No se,Mujer
12644951094,402519848,2021-05-10 12:19:21,2021-05-10 12:46:02,186.116.232.225,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te confundió,"Yo apenas llegue el año pasado al colegio, soy practicamente nueva y lo que me confundio es que aceptan mucho la libertad de expresión, cosa que en mi anterior colegío no se veía.",#SiALaLibreExpresión,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,50,50,50,Felicidad,Todo el tiempo,La forma cómo los profesores enseñan,9,14 a 16 años,Universitario,Mujer
12644827704,402519848,2021-05-10 11:47:01,2021-05-10 12:07:21,190.121.139.4,,,,,Sí,CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprender comprartir con los compañeros,Aprender,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,97,34,100,Felicidad,Rara vez,Relación con los compañeros,,8 a 10 años,Bachiller,Mujer
12644801641,402519848,2021-05-10 11:50:26,2021-05-10 11:58:10,200.116.194.171,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí a cuidar la naturaleza y reciclar,#reciclemos,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,0,Felicidad,Todo el tiempo,Mi aporte a la humanidad/al mundo/a los demás,,,,
12644788539,402519848,2021-05-10 11:48:23,2021-05-10 11:55:15,186.81.100.191,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te dio curiosidad por aprender más,Compartir con mis compañeros ,#compartiendoconmiscompañeros #aprendiendoconmiscompañeros,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,91,17,100,Felicidad,Todo el tiempo,Relación con los compañeros,,,,
12644776716,402519848,2021-05-10 11:42:29,2021-05-10 11:51:34,200.6.178.19,,,,,Sí,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Fue poco lo que mi hija estudio pero en el colegio aprenden mucho más y se relacionan con los compañeros ,#Hashtag,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,71,49,44,Esperanza,No se,Cómo resolver conflictos,,más de 19 años,Bachiller,Hombre
12627116117,402519848,2021-05-03 20:22:00,2021-05-03 20:28:16,181.62.52.0,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Aprendí nuevas cosas en matemáticas que hables no entendía y no me gustaban pero entender bien el tema me gustaron ,#aprendercosasnuevaseslomejor,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,81,27,100,Felicidad,No se,La forma cómo los profesores enseñan,6,11 a 13 años,No se,Mujer
12626027565,402519848,2021-05-03 13:28:34,2021-05-03 13:41:44,200.6.178.21,,,,,No,VALLE DEL CAUCA,Instituto Central de Comercio y Bachillerato,te enseñó algo nuevo,Con mi compañero Santiago Rodríguez quien me dio su amistad cuando yo apenas conocí el colegio gracias amigo,Indiscutible Amigo ,Me dio curiosidad por saber más,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,2,45,3,Tristeza,No se,Relación con la familia,6,11 a 13 años,Bachiller,Mujer
