respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12647598003,402493917,2021-05-11 09:27:50,2021-05-11 09:36:39,200.110.174.101,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,Esta es una experiencia positiva y me paso en grado 7-1 ya que últimamente no estaba muy atento alas clases ya que. No me llamaban la atención hasta que en la materia de ciencias naturales empezamos a ver un tema que me llamaba la atención y lo mejor fue que salimos del salón a hacer las investigaciones,#afueradelsalon,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,77,14,100,no está seguro,Todo el tiempo,El cuidado del medio ambiente,8,14 a 16 años,No se,Hombre
12647596196,402493917,2021-05-11 09:27:17,2021-05-11 09:40:15,181.54.0.106,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,Pues la experiencia es que me siento demasiado bien estudiando en el colegio porque cada día para ser mejor persona,#aprendemás ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,51,85,Satisfacción/orgullo,Todo el tiempo,La forma cómo los profesores enseñan,8,11 a 13 años,Bachiller,Mujer
12647594464,402493917,2021-05-11 09:18:24,2021-05-11 09:35:56,186.86.52.153,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,Me enseño algo nuevo que no sabia,#AprendamosMas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,100,100,Felicidad,Con frecuencia,Cómo resolver conflictos,8,14 a 16 años,Bachiller,Hombre
12647593619,402493917,2021-05-11 09:18:39,2021-05-11 09:35:39,181.54.0.157,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,en una clase el profe explico un tema que yo no conocía y aprendí algo nuevo  ,#aprendo mas ,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,1,0,,Una vez,La forma cómo los profesores enseñan,8,11 a 13 años,Bachiller,Mujer
12647591221,402493917,2021-05-11 09:22:14,2021-05-11 09:35:05,181.62.52.86,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,En una clase de ciencias naturales hablamos mucho sobre el cuerpo humano y eso me dio mucha curiosidad y desde ahi me empezo a ggustar la anatomia humana y decidi seguir aprendiendo para poder estudiar medicina,El comiezo de un sueño,Me dio curiosidad por saber más,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,65,49,51,Felicidad,Todo el tiempo,Mi aporte a la humanidad/al mundo/a los demás,8,14 a 16 años,Bachiller,Mujer
12647588902,402493917,2021-05-11 09:19:08,2021-05-11 09:38:40,186.113.41.197,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,"En clase de Lengua Castellana hubo un debate sobre el paro nacional y los policías que atentan con la vida de otros civiles, hubieron muchas opiniones lógicas y otras que carecían de empatía en los casos, hubo hasta una madre ""opinando"" (en comillas porque fue más una critica). Di mi postura y varias personas opinaron lo mismo, siento que el espacio de debate en clases es algo importante, hasta aprendí cosas nuevas. Se debatió más que todo los fallecimientos.","""No ha cesado la horrible noche""",Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,100,100,Angustia/Miedo,Con frecuencia,Ninguna de las anteriores,8,11 a 13 años,No se,Mujer
12647588514,402493917,2021-05-11 08:52:57,2021-05-11 09:34:01,181.78.17.174,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"en una clase de sociales mis compañeros dieron sus opiniones sobre la orientación sexual y sobre el respeto hacia ellos, aprendí mas sobre el tema de la comunidad LGBTI y ahora pude definir mi sexualidad.   ",#Nuevosconocimientos ,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Entendernos y darnos soporte emocional,1,50,100,Satisfacción/orgullo,Rara vez,Innovación / creatividad,8,14 a 16 años,No se,Hombre
12647584205,402493917,2021-05-11 09:21:53,2021-05-11 09:32:42,181.54.0.127,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,me enseño a como ser y actuar como una buena persona,#AprendiendoJuntos,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,19,54,Felicidad,Rara vez,Innovación / creatividad,8,14 a 16 años,Bachiller,Hombre
12647579701,402493917,2021-05-11 09:18:55,2021-05-11 09:31:43,91.207.172.73,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Estaba jugando con un compañero, a lo cual yo le pegue fuerte y pues se esguinzó un tobillo, desde ahí aprendí a no volver a jugar brusco, de acuerdo eso me puse muy angustiado y nervioso por lo que me pasaría o lo que me harían, por lo cual estaba muy nervioso.",#DeMisExperienciasAprendo,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,55,100,23,Angustia/Miedo,Una vez,Relación con los compañeros,8,11 a 13 años,Bachiller,Hombre
12647577840,402493917,2021-05-11 09:19:56,2021-05-11 09:31:15,181.54.0.60,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te dio curiosidad por aprender más,cuando el profe ader nos enseño asacar el cuadro de puff y sobre la herencias etc  ,#naturales ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,0,40,no está seguro,Rara vez,La forma cómo los profesores enseñan,8,14 a 16 años,Universitario,Hombre
12647574585,402493917,2021-05-11 09:21:02,2021-05-11 09:30:13,181.54.0.253,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"Me enseño a valorar las cosas  mas simples del dia a dia , como el hecho de poder estar conpartiendo con lid compañeros en el aula de clase.",#a_valorar,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,64,100,no está seguro,Con frecuencia,Innovación / creatividad,8,11 a 13 años,Bachiller,Hombre
12647570287,402493917,2021-05-11 09:18:24,2021-05-11 09:28:52,201.185.46.69,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,empezaron a enseñar a tocar la guitarra,#aprendeatocarguitarra,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,0,Satisfacción/orgullo,Una vez,El trabajo en equipo,8,11 a 13 años,Técnico,Hombre
12647469346,402493917,2021-05-11 08:53:58,2021-05-11 09:00:12,190.108.79.125,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te confundió,Me gustaría que hubiera mas espacio en el Colegio ya que en los descansos no tenemos espacio donde sentarnos ya que hay muchos estudiantes y no tenemos donde sentarnos ya que todos los pasillos estaban ocupados,#UnDescansoconmasespacio,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,10,26,15,no está seguro,Todo el tiempo,Lo que hago en mi tiempo libre,8,11 a 13 años,No se,Mujer
12642918205,402493917,2021-05-09 20:09:04,2021-05-09 20:17:59,181.62.52.26,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,te dio curiosidad por aprender más,Obtuve grandes conocimientos ,Estudiando me preparo para un futuro,Me dio curiosidad por saber más,Quienes me rodean,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Felicidad,Con frecuencia,Liderazgo,,8 a 10 años,Técnico,Hombre
12642388895,402493917,2021-05-09 11:14:46,2021-05-09 11:20:29,181.62.53.118,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,La escuela siempre te enseña cosas nuevas que aumentan tu curiosidad por aprender más y más. Casi todas las clases ,Aprendiendo algo nuevo,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Hacer cosas,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,50,40,40,Esperanza,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,9,14 a 16 años,Universitario,Hombre
12638766230,402493917,2021-05-07 10:35:37,2021-05-07 10:53:25,191.95.166.233,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,te enseñó algo nuevo,aprendi cosas nuevas en el experimento que hicimos con la profesora de biologia,#unexperimentochevere,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,0,100,Esperanza,Todo el tiempo,El cuidado del medio ambiente,6,11 a 13 años,Técnico,Mujer
12638229670,402493917,2021-05-07 07:40:23,2021-05-07 07:51:21,191.95.164.253,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Buga,te enseñó algo nuevo,"Al principio de la pandemia del Covid-19 en Colombia, aprendí que estar en familia es muy importante, cuidandonos mutuamente del virus.",#cuidemonosentretodos,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,50,60,Angustia/Miedo,Todo el tiempo,Relación con la familia,7,11 a 13 años,Universitario,Hombre
12635323978,402493917,2021-05-06 09:14:18,2021-05-06 09:17:47,190.251.42.68,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,como ser rresponsable,#serrresponsable,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,0,100,Esperanza,Con frecuencia,Ninguna de las anteriores,6,11 a 13 años,Bachiller,Mujer
12634925565,402493917,2021-05-06 07:09:09,2021-05-06 07:14:36,181.54.0.179,,,,,No,VALLE DEL CAUCA,Colegio Comfandi Terranova,te enseñó algo nuevo,"después de la cuarentena, que ya todo ha cambiado, mi punto de vista es diferente sobre todo lo que ha pasado uno se pone a reflexionar sobre lo que ha pasado",·nuevaperspectiva,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,70,80,100,Esperanza,Todo el tiempo,Cómo resolver conflictos,9,14 a 16 años,Técnico,Hombre
12633085545,402493917,2021-05-05 14:48:01,2021-05-05 15:11:14,186.86.52.147,,,,,Sí,AMAZONAS,Colegio Comfandi Terranova,te enseñó algo nuevo,aprendí a valorar nuestro colegio  ,#valorar_nuestro_colegio,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,15,100,100,Rabia,Rara vez,Ninguna de las anteriores,9,14 a 16 años,No se,Hombre
12632593415,402493917,2021-05-05 12:16:26,2021-05-05 12:22:22,190.252.176.140,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,te dio curiosidad por aprender más,mi experiencia fue buena hice buenas amistades y me gustaria aprender mas sobre todo,mi buena experiencia ,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,40,70,50,Felicidad,No se,Liderazgo,8,11 a 13 años,Universitario,Mujer
12632584576,402493917,2021-05-05 12:15:11,2021-05-05 12:25:37,88.208.244.116,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,te dio curiosidad por aprender más,En clase de ciencias sociales cuando el profesor nos ponía los juegos y aveces nos dejaba la intriga,#intrigasconlosprofes,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,76,50,50,no está seguro,Con frecuencia,Tecnología y herramientas digitales,8,11 a 13 años,Técnico,Mujer
12632575038,402493917,2021-05-05 12:09:18,2021-05-05 12:16:57,181.62.133.148,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,te enseñó algo nuevo,"Que el año pasado yo tenia que entregar un trabajo por santillana, pero por la prisa de acabar de mandar los trabajos me di cuenta que no había cargado el trabajo por completo y desde ese día cuando quiero mandar un trabajo lo primero que hago es esperar a que el trabajo cargue por completo.",#Seanmaspasientes,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Hacer cosas,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,58,78,62,Felicidad,Una vez,Ninguna de las anteriores,8,11 a 13 años,Técnico,Mujer
12632570831,402493917,2021-05-05 12:09:16,2021-05-05 12:15:13,191.89.7.174,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,te enseñó algo nuevo,Me enseñó a qué no siempre tenemos que estar el el colegio para compartir,#QuieroVolveralaEscuela,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,80,50,Tristeza,Rara vez,Relación con los compañeros,8,11 a 13 años,Universitario,Hombre
12632569325,402493917,2021-05-05 12:06:49,2021-05-05 12:15:27,191.95.165.199,,,,,Sí,VALLE DEL CAUCA,Colegio Comfandi Tuluá,te dio curiosidad por aprender más,coarazon de marrano fue curioso y bueno,#corazon,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,9,14,Indiferencia,Rara vez,El cuidado del medio ambiente,8,11 a 13 años,Técnico,Hombre
